
Thunder Bay (63203) 
Hourly Fine Particulate Matter [PM2.5] Concentrations 
From,January 1 2017  
To,December 31 2017 EST 
Station,Thunder Bay (63203)
Address,421 James St. S.
Latitude,48.379389
Longitude,-89.290167
Air Intake Height,15 metres 
Elevation,192 metres 
Pollutant,Fine Particulate Matter [PM2.5]
Method,SHARP 5030 operated 35% RH
Unit, micrograms per cubic metre (micrograms/m3)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
63203,Fine Particulate Matter,2017-02-11,7,6,6,6,6,5,6,6,7,7,8,5,6,6,6,5,6,4,7,11,7,9,10,8,
63203,Fine Particulate Matter,2017-02-12,7,7,7,8,8,8,9,7,7,7,7,7,7,7,6,6,5,5,4,5,5,5,5,4,
63203,Fine Particulate Matter,2017-02-13,4,4,6,7,7,5,6,8,9,11,10,9,8,6,7,10,4,4,4,5,6,5,3,3,
63203,Fine Particulate Matter,2017-02-14,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,
63203,Fine Particulate Matter,2017-02-15,3,3,4,5,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,4,7,7,8,11,
63203,Fine Particulate Matter,2017-02-16,11,11,12,12,12,10,10,12,11,10,8,8,6,5,3,3,3,3,3,4,4,6,5,6,
63203,Fine Particulate Matter,2017-02-17,8,9,12,13,13,12,13,12,13,15,14,17,16,17,14,13,13,13,15,16,17,20,18,19,
63203,Fine Particulate Matter,2017-02-18,19,18,18,19,15,6,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,
63203,Fine Particulate Matter,2017-02-19,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,5,4,6,6,4,3,4,
63203,Fine Particulate Matter,2017-02-20,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,4,4,5,6,5,5,
63203,Fine Particulate Matter,2017-02-21,5,5,5,6,4,4,4,4,4,3,3,3,3,2,2,2,3,3,3,5,6,8,10,10,
63203,Fine Particulate Matter,2017-02-22,11,8,10,10,9,9,10,9,8,7,7,6,5,5,4,4,4,5,4,5,4,3,3,3,
63203,Fine Particulate Matter,2017-02-23,3,3,3,3,4,3,2,2,9999,9999,9999,9999,0,0,0,0,0,1,2,2,3,3,6,9,
63203,Fine Particulate Matter,2017-02-24,13,16,17,18,17,16,16,14,12,10,9,9,12,13,11,12,11,9,8,8,6,5,4,4,
63203,Fine Particulate Matter,2017-02-25,4,3,3,2,2,2,2,2,2,2,3,3,4,4,3,3,3,2,3,3,3,3,4,9,
63203,Fine Particulate Matter,2017-02-26,9,7,8,8,8,9,9,9,9,6,3,3,2,2,2,2,2,1,1,2,2,6,11,7,
63203,Fine Particulate Matter,2017-02-27,8,6,6,6,7,7,6,5,7,7,6,8,11,7,4,3,3,2,3,4,7,9,12,11,
63203,Fine Particulate Matter,2017-02-28,13,14,8,11,12,11,10,8,3,3,2,2,3,3,2,2,2,2,2,2,2,1,1,1,
63203,Fine Particulate Matter,2017-03-01,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,3,3,2,2,6,
63203,Fine Particulate Matter,2017-03-02,5,6,8,8,6,5,4,3,2,2,1,2,1,1,1,1,3,2,2,3,4,5,4,3,
63203,Fine Particulate Matter,2017-03-03,3,3,3,4,3,3,4,10,5,3,2,2,2,2,2,2,2,2,2,7,19,13,22,13,
63203,Fine Particulate Matter,2017-03-04,19,13,13,13,12,11,9,9,7,7,8,2,1,1,2,2,2,3,3,4,4,4,4,3,
63203,Fine Particulate Matter,2017-03-05,3,3,4,4,3,3,4,4,6,8,10,10,11,11,11,11,11,12,12,13,11,12,12,9,
63203,Fine Particulate Matter,2017-03-06,9,9,9,9,10,10,10,11,13,13,9,8,8,6,7,9,7,7,8,8,7,7,7,6,
63203,Fine Particulate Matter,2017-03-07,5,2,1,1,1,3,3,1,2,1,1,1,2,3,3,2,1,1,1,2,2,3,3,3,
63203,Fine Particulate Matter,2017-03-08,5,6,4,3,3,3,3,3,6,4,5,4,5,5,5,5,5,3,5,3,3,3,3,2,
63203,Fine Particulate Matter,2017-03-09,3,1,1,1,1,1,2,2,2,2,2,2,2,2,4,5,3,3,5,2,2,2,2,2,
63203,Fine Particulate Matter,2017-03-10,2,2,2,2,2,2,3,3,4,5,3,3,3,4,4,3,3,3,3,3,3,3,3,2,
63203,Fine Particulate Matter,2017-03-11,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,
63203,Fine Particulate Matter,2017-03-12,6,6,-999,-999,6,7,8,7,7,4,3,3,2,2,2,3,4,5,5,5,4,4,5,6,
63203,Fine Particulate Matter,2017-03-13,5,5,5,7,7,8,10,11,9,8,5,3,3,3,4,5,4,4,4,4,6,10,21,9,
63203,Fine Particulate Matter,2017-03-14,12,18,19,17,12,9,11,7,6,5,4,3,2,1,1,2,2,1,1,2,4,4,8,9,
63203,Fine Particulate Matter,2017-03-15,5,6,6,5,4,4,5,4,4,4,3,2,1,1,1,1,2,2,3,5,4,7,6,8,
63203,Fine Particulate Matter,2017-03-16,8,8,9,9,8,7,8,10,8,7,6,5,5,4,3,2,2,2,3,4,8,9,13,12,
63203,Fine Particulate Matter,2017-03-17,8,5,4,4,4,4,4,4,5,6,8,8,8,5,3,4,8,12,15,15,18,23,21,11,
63203,Fine Particulate Matter,2017-03-18,8,10,11,10,3,1,2,3,4,3,3,3,3,3,3,3,3,4,4,4,4,3,5,6,
63203,Fine Particulate Matter,2017-03-19,5,5,4,3,4,3,3,4,3,2,2,3,3,3,2,2,2,4,4,6,9,11,10,9,
63203,Fine Particulate Matter,2017-03-20,8,7,10,10,8,4,3,2,3,2,2,1,0,0,0,0,0,0,0,0,1,2,1,1,
63203,Fine Particulate Matter,2017-03-21,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,4,2,9999,
63203,Fine Particulate Matter,2017-03-22,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,3,3,3,3,2,3,1,1,2,2,2,2,2,3,
63203,Fine Particulate Matter,2017-03-23,6,3,5,7,7,5,4,6,5,6,8,8,8,7,7,6,6,7,7,5,6,6,6,5,
63203,Fine Particulate Matter,2017-03-24,5,7,9,8,7,8,9,10,12,13,8,3,1,0,0,0,0,0,2,2,4,2,1,1,
63203,Fine Particulate Matter,2017-03-25,1,1,1,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,1,2,3,2,2,2,
63203,Fine Particulate Matter,2017-03-26,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,4,3,
63203,Fine Particulate Matter,2017-03-27,4,6,7,4,3,2,3,5,4,5,4,3,4,4,6,3,5,5,5,6,7,10,13,10,
63203,Fine Particulate Matter,2017-03-28,11,9,12,10,10,9,8,8,8,4,2,5,3,5,8,10,3,3,4,4,2,2,5,3,
63203,Fine Particulate Matter,2017-03-29,3,4,2,2,1,1,3,3,3,1,1,1,1,1,2,1,0,0,1,2,1,4,2,3,
63203,Fine Particulate Matter,2017-03-30,3,2,2,3,2,2,1,1,1,1,1,1,1,1,2,3,2,2,3,3,4,5,9,11,
63203,Fine Particulate Matter,2017-03-31,7,9,9,9,9,9,8,8,7,7,5,3,1,1,1,2,2,2,4,5,4,6,9,11,
63203,Fine Particulate Matter,2017-04-01,12,9,5,3,4,4,4,5,2,1,1,1,2,2,2,1,2,2,3,4,7,11,12,13,
63203,Fine Particulate Matter,2017-04-02,11,9,8,10,9,8,10,8,6,3,3,2,2,2,3,4,3,3,3,4,3,2,3,4,
63203,Fine Particulate Matter,2017-04-03,5,8,11,11,11,22,24,22,19,18,11,8,7,5,4,6,5,6,7,6,7,16,11,3,
63203,Fine Particulate Matter,2017-04-04,6,2,2,10,11,2,1,2,1,1,1,1,0,1,1,1,1,1,1,1,5,7,4,10,
63203,Fine Particulate Matter,2017-04-05,9,12,15,10,8,6,5,5,3,0,1,1,1,0,0,0,0,0,0,2,2,0,0,7,
63203,Fine Particulate Matter,2017-04-06,3,9999,2,3,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,2,9999,3,4,
63203,Fine Particulate Matter,2017-04-07,5,6,6,6,5,5,5,6,4,1,1,1,1,0,0,0,0,0,1,2,4,10,6,8,
63203,Fine Particulate Matter,2017-04-08,9,6,8,10,9,8,9,9,5,1,1,2,5,4,4,3,4,5,6,5,9,12,13,21,
63203,Fine Particulate Matter,2017-04-09,23,20,20,16,18,16,16,15,15,14,13,6,7,5,5,8,7,5,12,10,12,11,1,1,
63203,Fine Particulate Matter,2017-04-10,0,0,0,0,3,2,2,3,2,2,1,0,0,1,1,1,1,0,1,1,1,1,1,1,
63203,Fine Particulate Matter,2017-04-11,2,2,1,2,2,2,4,3,2,2,1,0,0,1,1,1,1,0,2,3,2,2,4,6,
63203,Fine Particulate Matter,2017-04-12,7,8,10,9,8,9,12,13,6,3,3,6,10,2,2,2,1,3,3,12,8,8,3,2,
63203,Fine Particulate Matter,2017-04-13,3,7,6,8,9,11,13,14,13,11,9,7,6,4,4,5,3,3,5,6,7,4,5,7,
63203,Fine Particulate Matter,2017-04-14,11,12,9,10,10,10,12,12,13,9,8,6,4,2,3,4,3,3,3,3,4,4,3,4,
63203,Fine Particulate Matter,2017-04-15,5,5,5,6,7,9,9,8,7,6,6,10,19,15,7,6,8,9,5,10,10,12,10,6,
63203,Fine Particulate Matter,2017-04-16,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,
63203,Fine Particulate Matter,2017-04-17,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,
63203,Fine Particulate Matter,2017-04-18,2,2,2,2,2,1,0,1,1,1,1,1,2,2,1,1,2,2,1,1,3,3,1,1,
63203,Fine Particulate Matter,2017-04-19,1,2,0,9999,9999,0,0,0,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,
63203,Fine Particulate Matter,2017-04-20,1,1,1,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,
63203,Fine Particulate Matter,2017-04-21,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,3,10,10,
63203,Fine Particulate Matter,2017-04-22,10,10,9,9,8,8,6,4,3,2,2,1,2,3,3,2,3,1,1,0,0,1,0,0,
63203,Fine Particulate Matter,2017-04-23,9999,9999,9999,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,
63203,Fine Particulate Matter,2017-04-24,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
63203,Fine Particulate Matter,2017-04-25,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,1,1,1,1,1,0,0,0,0,
63203,Fine Particulate Matter,2017-04-26,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,
63203,Fine Particulate Matter,2017-04-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,
63203,Fine Particulate Matter,2017-04-28,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,5,2,2,2,2,1,2,2,
63203,Fine Particulate Matter,2017-04-29,3,2,1,2,2,3,3,2,2,2,2,1,2,3,3,2,1,1,1,3,3,4,8,8,
63203,Fine Particulate Matter,2017-04-30,11,10,8,10,10,11,12,10,3,2,2,2,1,2,3,2,9,7,6,13,5,7,8,7,
63203,Fine Particulate Matter,2017-05-01,8,3,1,1,2,2,4,3,2,2,1,2,2,1,2,2,1,0,0,0,0,0,0,0,
63203,Fine Particulate Matter,2017-05-02,0,0,1,1,1,1,1,2,1,1,1,2,2,2,2,2,3,2,2,2,3,9999,9999,9999,
63203,Fine Particulate Matter,2017-05-03,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,6,8,4,3,4,3,3,5,5,8,9999,9999,9999,
63203,Fine Particulate Matter,2017-05-04,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,3,1,2,2,2,3,2,3,9999,8,4,4,3,
63203,Fine Particulate Matter,2017-05-05,5,5,4,6,3,4,3,3,3,5,6,5,3,4,4,4,5,5,7,6,6,8,6,10,
63203,Fine Particulate Matter,2017-05-06,13,13,5,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,
63203,Fine Particulate Matter,2017-05-07,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,3,1,1,0,1,3,7,7,6,
63203,Fine Particulate Matter,2017-05-08,8,8,8,8,9,8,8,7,3,1,2,3,2,2,1,1,1,1,2,2,5,7,3,5,
63203,Fine Particulate Matter,2017-05-09,6,6,7,8,10,8,7,7,7,8,6,3,2,6,7,14,3,1,1,3,2,1,2,2,
63203,Fine Particulate Matter,2017-05-10,2,7,3,4,8,10,9,5,2,2,2,2,3,3,2,3,3,3,4,12,7,7,6,5,
63203,Fine Particulate Matter,2017-05-11,1,3,8,3,6,6,1,1,2,2,3,3,2,1,1,1,1,1,3,4,4,4,4,6,
63203,Fine Particulate Matter,2017-05-12,6,4,6,7,8,7,7,4,1,1,1,2,3,2,2,2,1,2,2,4,5,5,9,9999,
63203,Fine Particulate Matter,2017-05-13,9999,9999,9999,9999,9999,9999,9999,3,2,1,1,2,1,1,2,1,1,1,1,2,3,4,4,1,
63203,Fine Particulate Matter,2017-05-14,0,1,0,1,2,2,1,0,0,9999,0,0,0,0,9999,0,0,0,0,0,0,2,1,0,
63203,Fine Particulate Matter,2017-05-15,0,1,1,1,0,0,0,0,1,0,0,0,0,4,3,1,1,1,2,5,4,3,1,1,
63203,Fine Particulate Matter,2017-05-16,1,2,2,3,2,1,2,2,1,1,1,1,1,3,4,2,2,3,3,3,1,7,8,11,
63203,Fine Particulate Matter,2017-05-17,10,7,8,4,3,2,2,1,1,3,1,0,1,1,1,1,1,1,0,0,0,0,0,0,
63203,Fine Particulate Matter,2017-05-18,9999,9999,9999,9999,9999,9999,9999,9999,1,1,1,1,0,0,0,0,0,1,1,1,1,2,7,14,
63203,Fine Particulate Matter,2017-05-19,4,4,4,5,6,5,5,5,4,2,1,2,2,1,1,1,1,1,1,3,9,8,11,6,
63203,Fine Particulate Matter,2017-05-20,15,14,11,9,9,9,10,8,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,
63203,Fine Particulate Matter,2017-05-21,4,2,2,2,1,2,2,3,2,2,2,2,0,2,4,2,1,1,0,1,1,1,0,0,
63203,Fine Particulate Matter,2017-05-22,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,
63203,Fine Particulate Matter,2017-05-23,1,1,1,1,0,9999,0,0,0,0,1,0,1,2,2,3,3,3,3,4,3,3,8,3,
63203,Fine Particulate Matter,2017-05-24,2,3,3,5,7,8,5,4,2,2,1,1,3,1,2,2,2,2,3,6,5,9,5,7,
63203,Fine Particulate Matter,2017-05-25,15,29,14,10,8,7,8,7,8,9,4,3,9,5,2,1,0,0,1,0,3,6,1,3,
63203,Fine Particulate Matter,2017-05-26,5,9,5,7,6,6,4,5,5,4,4,4,7,5,3,3,5,6,6,10,7,10,6,6,
63203,Fine Particulate Matter,2017-05-27,5,4,3,4,4,6,24,29,14,7,8,5,4,4,3,3,6,7,7,5,6,15,18,16,
63203,Fine Particulate Matter,2017-05-28,8,12,7,5,5,6,6,5,5,4,4,4,4,3,3,3,4,4,4,5,8,7,7,5,
63203,Fine Particulate Matter,2017-05-29,13,34,20,33,20,14,11,3,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,
63203,Fine Particulate Matter,2017-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
